name,GMT_Formula,country,lat,long,timezone
Ponta Delgada,GMT-01:00,Portugal,37.75,-25.66666603,Azores Standard Time
Praia,GMT-01:00,Cape Verde,14.91666698,-23.51666641,Cape Verde Standard Time
Bahia Blanca,GMT-03:00,Argentina,-38.73333359,-62.26638794,Argentina Standard Time
Buenos Aires,GMT-03:00,Argentina,-34.5830574,-58.66666794,Argentina Standard Time
Cordoba,GMT-03:00,Argentina,-31.41666603,-64.18333435,Argentina Standard Time
Corrientes,GMT-03:00,Argentina,-27.4711113,-58.83972168,Argentina Standard Time
Posadas,GMT-03:00,Argentina,-27.39972305,-55.90000153,Argentina Standard Time
Rio Cuarto,GMT-03:00,Argentina,-33.12805557,-64.35472107,Argentina Standard Time
Rosario,GMT-03:00,Argentina,-32.93333435,-60.66666794,Argentina Standard Time
San Lorenzo,GMT-03:00,Argentina,-32.75,-60.76638794,Argentina Standard Time
Santa Fe,GMT-03:00,Argentina,-31.61666679,-60.70000076,Argentina Standard Time
Tucuman,GMT-03:00,Argentina,-26.80833244,-65.21749878,Argentina Standard Time
Palmas,GMT-03:00,Brazil,-10.16888905,-48.33166504,Bahia Brazil Standard Time
Salvador,GMT-03:00,Brazil,-11.03333378,-37.51638794,Bahia Brazil Standard Time
Arraial do Cabo,GMT-03:00,Brazil,-22.96611023,-42.0288887,E. South America Standard Time
Belo Horizonte,GMT-03:00,Brazil,-19.81583405,-43.95416641,E. South America Standard Time
Brasilia,GMT-03:00,Brazil,-15.7919445,-47.89777756,E. South America Standard Time
Campinas,GMT-03:00,Brazil,-22.90638924,-47.0616684,E. South America Standard Time
Curitiba,GMT-03:00,Brazil,-25.42972183,-49.27111053,E. South America Standard Time
Petropolis,GMT-03:00,Brazil,-22.5047226,-43.18222046,E. South America Standard Time
Porto Alegre,GMT-03:00,Brazil,-30.03333282,-51.20000076,E. South America Standard Time
Rio de Janeiro,GMT-03:00,Brazil,-22.90361023,-43.20944595,E. South America Standard Time
Sao Jose do Rio Preto,GMT-03:00,Brazil,-20.80805588,-49.38083267,E. South America Standard Time
Sao Paulo,GMT-03:00,Brazil,-22.43333244,-45.36666489,E. South America Standard Time
Stanley,GMT-03:00,Falkland Islands,-51.70000076,-57.84972382,Falkland Islands Standard Time
Catamarca,GMT-03:00,Argentina,-28.46611023,-65.78083038,SA Eastern Standard Time
Cayenne,GMT-03:00,French Guiana,4.933333397,-52.33333206,SA Eastern Standard Time
Fortaleza,GMT-03:00,Brazil,-3.75,-38.58333206,SA Eastern Standard Time
Joao Pessoa,GMT-03:00,Brazil,-7.13166666,-34.85388947,SA Eastern Standard Time
Jujuy,GMT-03:00,Argentina,-24.1977787,-65.30083466,SA Eastern Standard Time
La Rioja,GMT-03:00,Argentina,-29.41277695,-66.85472107,SA Eastern Standard Time
Macapa,GMT-03:00,Brazil,0.034444444,-51.06666565,SA Eastern Standard Time
Mendoza,GMT-03:00,Argentina,-32.88249969,-68.81639099,SA Eastern Standard Time
Neuquen,GMT-03:00,Argentina,-38.95000076,-68.06666565,SA Eastern Standard Time
Olinda,GMT-03:00,Brazil,-8,-34.84999847,SA Eastern Standard Time
Paramaribo,GMT-03:00,Suriname,5.816666603,-55.16666794,SA Eastern Standard Time
Rawson,GMT-03:00,Argentina,-43.29999924,-65.10028076,SA Eastern Standard Time
Recife,GMT-03:00,Brazil,-8.054166794,-34.8758316,SA Eastern Standard Time
Rio Gallegos,GMT-03:00,Argentina,-51.61639023,-69.23305511,SA Eastern Standard Time
Salta,GMT-03:00,Argentina,-24.7891674,-65.40805817,SA Eastern Standard Time
San Juan,GMT-03:00,Argentina,-31.53444481,-68.52694702,SA Eastern Standard Time
Santa Rosa,GMT-03:00,Argentina,-36.62749863,-64.28778076,SA Eastern Standard Time
Santarem,GMT-03:00,Brazil,-2.440555573,-54.69861221,SA Eastern Standard Time
Ushuaia,GMT-03:00,Argentina,-54.78305435,-68.31639099,SA Eastern Standard Time
Viedma,GMT-03:00,Argentina,-40.81361008,-62.99416733,SA Eastern Standard Time
Kulusuk,GMT-03:00,Greenland,65.5680542,-37.1875,Greenland Standard Time
Nuuk,GMT-03:00,Greenland,64.18333435,-51.71666718,Greenland Standard Time
San Luis,GMT-03:00,Argentina,-33.31583405,-66.34750366,Argentina - San Luis Standard Time
Saint-Pierre,GMT-03:00,Saint Pierre and Miquelon,46.78305435,-56.18333435,St Pierre and Miquelon Standard Time
Montevideo,GMT-03:00,Uruguay,-34.90000153,-56.15000153,Uruguay Standard Time
Rivera,GMT-03:00,Uruguay,-30.89999962,-55.54999924,Uruguay Standard Time
Salto,GMT-03:00,Uruguay,-31.39999962,-57.96666718,Uruguay Standard Time
San Carlos,GMT-03:00,Uruguay,-34.79999924,-54.91666794,Uruguay Standard Time
Tacuarembo,GMT-03:00,Uruguay,-31.70000076,-55.98333359,Uruguay Standard Time
"St. John's NL",GMT-03:30,Canada,47.57666779,-52.70111084,Newfoundland Standard Time
"Amherst NS",GMT-04:00,Canada,45.83000183,-64.20527649,Atlantic Standard Time
"Charlottetown PE",GMT-04:00,Canada,46.23527908,-63.12666702,Atlantic Standard Time
"Halifax NS",GMT-04:00,Canada,44.64611053,-63.57361221,Atlantic Standard Time
Hamilton,GMT-04:00,Bermuda,32.29999924,-64.80000305,Atlantic Standard Time
"Moncton NB",GMT-04:00,Canada,46.09444427,-64.77527618,Atlantic Standard Time
"Saint John NB",GMT-04:00,Canada,45.27305603,-66.0633316,Atlantic Standard Time
"Sydney NS",GMT-04:00,Canada,46.15000153,-60.20000076,Atlantic Standard Time
Arica,GMT-04:00,Chile,-18.45444489,-70.29027557,Chile Standard Time
Santiago,GMT-04:00,Chile,-33.44999695,-70.66670227,Chile Standard Time
Valdivia,GMT-04:00,Chile,-39.82416534,-73.21333313,Chile Standard Time
Valparaiso,GMT-04:00,Chile,-33.04555511,-71.6202774,Chile Standard Time
Vina del Mar,GMT-04:00,Chile,-33.02444458,-71.55222321,Chile Standard Time
Cuiaba,GMT-04:00,Brazil,-15.59888935,-56.09500122,Cuiaba Standard Time
Basse-Terre,GMT-04:00,Guadeloupe,16,-61.71666718,SA Western Standard Time
Basseterre,GMT-04:00,Saint Kitts and Nevis,17.29999924,-62.73333359,SA Western Standard Time
Bridgetown,GMT-04:00,Barbados,13.10000038,-59.61666489,SA Western Standard Time
Castries,GMT-04:00,Saint Lucia,14,-60.98333359,SA Western Standard Time
Charlotte Amalie,GMT-04:00,"Virgin Islands U.S.",18.35000038,-64.93333435,SA Western Standard Time
Fort-de-France,GMT-04:00,Martinique,14.60000038,-61.06666565,SA Western Standard Time
Georgetown,GMT-04:00,Guyana,6.783333302,-58.15000153,SA Western Standard Time
Kingstown,GMT-04:00,Saint Vincent and the Grenadines,13.19999981,-61.26666641,SA Western Standard Time
La Paz,GMT-04:00,Bolivia,-16.04999924,-68.01499939,SA Western Standard Time
Manaus,GMT-04:00,Brazil,-3.116666555,-60.01666641,SA Western Standard Time
Oranjestad,GMT-04:00,Aruba,12.52444458,-70.02639008,SA Western Standard Time
Philipsburg,GMT-04:00,Sint Maarten,18.02916718,-63.04750061,SA Western Standard Time
Port of Spain,GMT-04:00,Trinidad and Tobago,10.66666698,-61.5,SA Western Standard Time
